Establishment,Manager,Status,Rooms,Beds,Address,Island,Tel,Email,License Type
Chateau Sans Soucis,DE CHARMOY LABLACHE Serge (Mr),Operational,12,24,Anse Kerlans,Praslin,4233020/2510642/02510641,reservation@chateausanssouci.sc,Small Hotel
Chateau St. Cloud,ST ANGE Myrianne (Mr),Operational,20,40,Anse Reunion,La Digue,4295400,stcloud@seychelles.net,Small Hotel
Chauve Souris,BARILARI Marco (Mr),Operational,5,10,P.O Box 177,Chauve Souris Island,2727380,vacanze@seychelles.net,Small Hotel
Chello's Villa,DICK Fadia (Ms),Operational,2,4,Anse Boileau,Mahe,2813448/2717282,fadzdick@gmail.com,Self Catering
Chepsted Chalets,GEDEON Celestine (Mrs.),Operational,6,12,"Sorento, Glacis",Mahe,2510592,chepstedchalet@gmail.com;celestinegedeon@gmail.com,Self Catering
Chez Ahmed,NIBOURETTE Ahmed Garry (Mr),Operational,2,4,La Passe,La Digue,2567280,chezahmedselfcatering7@gmail.com,Self Catering
Chez Antoine Apartments,ANTOINE Helga (Mrs),Operational,8,16,Grand Anse,Praslin,4235000 /2723801/2510028,chezantoineapartment@gmail.com; zitaantoine@yahoo.com; den1-held@yahoo.com,Self Catering
Chez Augustine,DIDON Gerald (Mr) / ALCINDOR Lisette (Miss),Operational,4,8,Anse a La Mouche,Mahe,2515007/ 2525555/2575555,chezaugustine@seychelles.net; gerald.didon@cwseychelles.com,Self Catering
Chez Bea Luxury Villa,DUBINION Jean claude (Mr),Operational,12,24,Cote Dor,Praslin,4236044/2526136/2510149,gm@chez bealuxuryvilla.sc,Self Catering
Chez Benoit,BENOIT Daniela (Ms),Operational,4,8,Au Cap,Mahe,2725877/2716844/,chezbenoit2020@hotmail.com,Self Catering
Chez Bijoux,BIJOUX Chantale (Mrs),Operational,1,2,Fairyland,Mahe,2710322/ 4372284,c.bijoux@meteo.gov.sc,Self Catering
Chez Coco Self Catering,ADRIENNE Colin (Mr),Operational,3,6,Au Cap,Mahe,2711234/2788188,chezcocoseychelles@hotmail.com,Self Catering
Chez Julie,VANNIER Julie (Mrs),Operational,2,4,Anse Boileau,Mahe,2813627,,Self Catering
Chez Lester,ROBERT Janine  / ROBERT Lester (Mr),Operational,1,2,Cote d'Or,Praslin,4232038/ 2510022,cheers@seychelles.net,Self Catering
Chez Lorna,VAN DER LAAN Lorna (Mrs),Operational,1,2,Quincy Village,Mahe,4241082/2505974,chezlorna@gmail.com,Self Catering
Chez Marie-Rose Self Catering,LEPATHY Marie-Rose (Mrs),Operational,2,4,La Misere,Mahe,2815881,mlepathy@yandex.com,Self Catering
Chez Marlin,REINSCH Anne (Mrs),Operational,2,4,Grand Anse,Praslin,4411002,anne.gappy@gmx.de,Self Catering
Chez Marston,STE ANGE Marston (Mr),Operational,5,10,La Passe,La Digue,4234023/ 2514311,mars@seychelles.net,Small Hotel
Chez Marva,LESPERANCE Marva (Ms),Operational,6,12,Anse Reunion,La Digue,2604905,chezmaiiva@yahoo.com,Self Catering
Chez May Paule Guesthouse,PAYET May Paule (Mrs),Operational,6,12,Cote d'Or,Praslin,4232118/ 2537540,chezmaypaule@seychelles.net,Bed & Breakfast Guesthouse
Chez mera Self Catering,EUPHRASIE Mera (Mrs),Operational,4,8,La Passe,La Digue,2545998,meraeup@yahoo.com,Self Catering
Chez Muriel,BEDIER Muriel (Miss),Operational,5,10,Anse Volbert,Praslin,2714097,bediermuriel@hotmail.com,Self Catering
Chez Odette,ALCINDOR Anna-Belle Gitanne (Ms),Operational,2,4,Ma Joie,Mahe,2577485/ 4321914/2566199,odette.alcindor@yahoo.com,Self Catering
Chez Payet Self Catering,PAYET Rodney (Mr),Operational,4,8,Point La Rue,Mahe,2511269,rdgpayet@gmail.com; info@chezpayet/guesthouse.sc,Self Catering
Chez Remy,"THYROOMOOLDY Marie, Marlane   (Miss)",Operational,1,2,Beau Vallon,Mahe,2723127/ 4248429,jthyro@hotmail.co.uk,Self Catering
Chloe's Cottage,NIBOURETTE Keddy (Mr),Operational,3,6,L'Union Estate,La Digue,2511007/4234666,chloe.cottage@email.sc,Self Catering
Chrisent Residence,PILLAY Christa (Mrs),Operational,2,4,Beoliere,Mahe,2530832/ 2529413/4378823,chrisentresidence@gmail.com ; chrisentpil@gmail.com,Self Catering
Christine Self Catering,MOTHEE Jacintha (Ms),Operational,2,4,Baie Ste Anne,Praslin,4232806/2525223,juja700@yahoo.com,Self Catering
Clef des Iles,TRAMBELLAND Stephane (Mr),Operational,8,16,Beau Vallon,Mahe,2527100/2528906,info@clefdesiles.com,Self Catering
Coco Bay Villa,COBIAN Rose Mary (Mrs),Operational,3,6,Anse Volbert,Praslin,2782826,cocobay6@gmail.com,Self Catering
Coco Beach Residence,DE COMARMOND Aisha (Ms),Operational,4,8,Anse Royale,Mahe,2821841,aishae@ymail.com,Self Catering
Coco Blanche,DELTEL Caroline (Mrs),Operational,5,10,Anse Royale,Mahe,2571362/2511604/2512284,cocoblanche@email.sc,Self Catering
Coco De Mer Hotel,BEHARI Ash (Mr),Operational,40,80,Anse Bois De Rose,Praslin,4290555,cocodeme@seychelles.net,Medium Hotel
Coco de Mer Villa,ESPARON Jeanne (Mrs),Operational,2,4,Anse La Mouche,Mahe,2510336/ 2710674,elma3892@gmail.com,Self Catering
Coco D'Or Hotel,VENKATESAN Ragu (Mr),Operational,27,54,P.O Box 526,Mahe,4247331/ 2524457/2524770,vero@cocodor.sc; ragu@cocodor.sc,Medium Hotel
Coconut Climb Self Catering,DURUP Vivienne (Mrs),Operational,4,8,Sans Soucis,Mahe,2515787/2608068/4225773,coconutclimbsez@gmail.com,Self Catering
Cocotier Du Rocher,"MOREL Lucina, Verena (Miss)",Operational,8,16,La Passe,La Digue,2526622/4234489/ 2514889/,info@cocotierdurocher.com,Self Catering
Coin D'or,PHILOE Stella (Mrs),Operational,1,2,Anse Possession,Praslin,2566235/ 2543706,coindor@rocketmail.com,Self Catering
Colibri,BURIAN PARMENTIER Beverly (Ms),Operational,11,22,Pointe Cabris,Praslin,2501446/ 4294200,ccmer@seychelles.net,Guesthouse
Constance Ephelia Resort,DUCHENNE Stephane( Mr),Operational,313,626,Port Launay,Mahe,4395000/ 2524123,Info@epheliaresort.com; gm@epheliaresort.com,Large Hotel
Constance Lemuria Resort,LE GAC Bruno (Mr),Operational,105,210,Anse Kerlans,Praslin,4281281/ 2516064,gm@lemuriaresort.com; adm@lemuriaresort.com,Large Hotel
Coral Strand Smart Choice Hotel,SURENDRAN Sujith (Mr),Operational,167,334,Beau Vallon,Mahe,4291000/ 4621000,info@coralstrand.sc; executive@coralstrand.sc; deputygm@coralstrand.sc; surendran@savoy.sc,Large Hotel
